level,kode_lengkap,nama_item,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.025,Kasur/Spring Bed,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.026,Sketsel,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.027,Meja Makan Besi,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.028,Meja Makan Kayu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.029,Kursi Fiber Glass/Plastik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.030,Kursi Rapat,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.031,Kursi Tamu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.032,Kursi Putar,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.033,Kursi Biasa,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.034,Bangku Sekolah,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.035,Bangku Tunggu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.036,Kursi Lipat,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.037,Bangku Injak,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.038,Meja Cetakan,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.039,Meja Komputer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.040,Pot Bunga,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.041,Partisi,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.042,Publik Astari (Pembatas Antrian),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.043,Rak Sepatu (Alumunium),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.044,Gantungan Jas,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.045,Nakas,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.046,Cubikal,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.047,Workstation,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.048,Sofa,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.049,Meja Rias,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.02.02,ALAT PENGUKUR WAKTU,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.02.001,Jam Mekanis,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.02.002,Jam Listrik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.02.003,Jam Elektronik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.02.004,Control Clock,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.02.03,ALAT PEMBERSIH,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.03.001,Mesin Penghisap Debu/Vacuum Cleaner,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.03.002,Mesin Pel/Poles,,,,,,,,,,,,,,,,,,,,,,,
